candle_begin_time,open,high,low,close,volume
2021-03-27,1641.31,1718.66,1634.29,1682.45,57885.248572
2021-03-28,1682.85,1732.76,1682.66,1709.38,42520.728848
2021-03-29,1709.37,1789.97,1661.85,1788.51,71961.833148
2021-03-30,1788.8,1849.65,1777.2,1830.82,82952.209208
2021-03-31,1830.82,1862.2,1770.65,1849.11,85562.289955
2021-04-01,1849.09,1968.0,1838.2,1944.57,109637.216512
2021-04-02,1944.57,2081.67,1885.09,2074.55,113620.575553
2021-04-03,2074.03,2145.16,2031.24,2070.32,87175.545286
2021-04-04,2070.59,2094.96,1978.16,2077.08,99701.573009
2021-04-05,2077.08,2125.73,2002.01,2113.05,81934.462851
2021-04-06,2112.88,2152.14,2045.0,2084.73,98139.401568
2021-04-07,2084.74,2129.17,1930.0,1977.0,130816.879262
2021-04-08,1976.75,2059.84,1938.78,2059.62,97935.550867
2021-04-09,2059.66,2102.01,2043.59,2061.92,76696.150037
2021-04-10,2062.27,2199.0,2050.0,2156.51,90919.084575
2021-04-11,2156.52,2167.6,2083.91,2148.67,62198.749174
2021-04-12,2148.67,2200.0,2106.12,2121.75,90093.972677
2021-04-13,2122.19,2277.44,2102.03,2275.94,110098.442297
2021-04-14,2275.83,2401.36,2255.0,2349.45,144577.518812
2021-04-15,2349.44,2487.21,2302.7,2461.5,125480.995072
2021-04-16,2461.21,2546.13,2298.32,2427.52,167073.428601
2021-04-17,2427.53,2495.02,2328.19,2342.33,106056.613777
2021-04-18,2342.17,2393.67,1885.0,2099.05,324624.170898
